/////////////////////////////////////////////////////////////////////////////////////////////////////
/////角色ー定义//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
//000 拉古那		 Ch_003l 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19 01		红发的热血宝物猎人。\n驾驶爱机特里斯坦号四处旅行。
000 拉古那		 Ch_081 999  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19 01		红发的热血宝物猎人。\n驾驶爱机特里斯坦号四处旅行。
//399	拉客		 Ch_081 399	3	30	Bx---	400 10 20 	---*|***-|**--|----		0 44 0 ---- 0 ---- 0	---- 0	X
001 艾尔雯		 Ch_004l 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	113  02		高贵的吸血鬼真祖公主。\n蒙布利亚城堡的现任主人。
004 露			 Ch_015  015  4 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	----  0		\n //露仲間用
005 奥迪莎		 Ch_034  019  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //奥迪莎仲間用
006 昴			 Ch_020  020  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //昴仲間用
007 米娅		 Ch_091  091  4 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //米娅仲間用
008 艾尔雯		 Ch_004l 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n
009 拉古那		 Ch_003c 1014 1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //护目镜無し
010 拉古那		 Ch_003d 1014 1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //护目镜装着
