
////////////////////
#CharMotTable:0204//キャタピル　幼虫ザコ（モーションはリーダーのものを使う）
EN_203m.it3
SET 00 00  0050 0079  -01 0000 //步き
SET 01 01  0010 0039  -01 0000 //走り
SET 02 02  0265 0304  -01 0000 //待機

SET 31 02  0110 0189  -01 0000 //攻撃（140-170でジャンプ、155でヒット）

SET 90 02  0090 0099  -01 0000 //喰らい(共通)
SET 91 02  0090 0099  -01 0000 //喰らい(共通)
SET 92 02  0090 0099  -01 0000 //喰らい(共通)
SET 93 02  0090 0099  -01 0000 //喰らい(共通)

SET 94 -1  0200 0214  -01 0000 //ダウン開始
SET 95 -1  0215 0215  -01 0000 //ダウン中
SET 96 02  0215 0234  -01 0000 //ダウン起き

#EndCharMotTable
////////////////////
