/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	□ 0～19 □
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳之並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ショ  タ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  イ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  プル			％＋＋		ノック |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|ダウン|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
000 拉古那			 Ch_003l 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19	 01		赤毛之熱血トレジャーハンター。\n愛机特里斯坦号でこ之地を訪れた。
001 艾雯		 Ch_004l 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	113  02		誇り高き吸血鬼之真祖之姫君。\n蒙布利亚城之現城主でもある。
004 露			 Ch_015  015  4 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	----  0		\n //露仲間用
005 奥蒂莎		 Ch_034  019  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //奥蒂莎仲間用
006 昴			 Ch_020  020  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //昴仲間用
007 米娅			 Ch_091  091  4 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //米娅仲間用
008 艾雯		 Ch_004l 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n
009 拉古那			 Ch_003c 1014 1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //ゴーグル無し
010 拉古那			 Ch_003d 1014 1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //ゴーグル装着
011 拉古那			 Ch_011  1014 1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //少年拉古那
012 奥蒂莎		 Ch_019  019  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //仲間用2·帽子かぶった状態

013 奥蒂莎		 Ch_033  013  1 15	-----	0   0  0 	---*|****|**--|----		0 21 0	---- 0	---- 0	----  0		\n //仲間用3·帽子かぶった状態
