/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	≪ 0～19 ≫
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ｼｮ  ﾀ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ｲ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ﾌﾟル			％＋＋		ﾉｯｸ |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|ﾀﾞｳﾝ|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
000 ラグナ			 Ch_003l 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19	 01		赤毛の熱血トレジャーハンター。\n愛機トリスタン号でこの地を訪れた。
001 アルウェン		 Ch_004l 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	113  02		誇り高き吸血鬼の真祖の姫君。\nムーンブリア城の現城主でもある。
004 ルゥ			 Ch_015  015  4 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	----  0		\n //ルゥ仲間用
005 オデッサ		 Ch_034  019  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //オデッサ仲間用
006 スバル			 Ch_020  020  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //スバル仲間用
007 ミア			 Ch_091  091  4 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //ミア仲間用
008 アルウェン		 Ch_004l 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n
009 ラグナ			 Ch_003c 1014 1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //ゴーグル無し
010 ラグナ			 Ch_003d 1014 1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //ゴーグル装着
011 ラグナ			 Ch_011  1014 1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //少年ラグナ
012 オデッサ		 Ch_019  019  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //仲間用2・帽子かぶった状態

013 オデッサ		 Ch_033  013  1 15	-----	0   0  0 	---*|****|**--|----		0 21 0	---- 0	---- 0	----  0		\n //仲間用3・帽子かぶった状態
015 ルゥ			 Ch_015  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	15	 03		アルウェンに仕える使い魔の闇妖精。\n毒舌家で、ラグナを目の仇にする。
020 スバル			 Ch_020  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	14	 07		ラグナに弟子入りした忍びの子。\n一生懸命だが、まだまだ修行中の身。
019 オデッサ		 Ch_019  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	24	 06		凄腕の賞金稼ぎ＆トレジャーハンター。\n《餓狼狩り》の名で恐れられている。
014 アルウェン		 Ch_004l 2004 3 21	G2		400 0  0 	----|*-*-|**--|----		0 20 0	---- 0	---- 0	---   0		\n //ダークアルウェン
016 フィオナ		 Ch_016  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 04		町外れの屋敷に滞在するお嬢様。\n可憐だが、凛とした雰囲気をまとう。
017 フィオナ		 Ch_017  017  1 15	-----	0   0  0 	----|----|----|----		16 20 0	---- 0	---- 0	----  0		\n //武装フィオナ
018 執事クロード	 Ch_018  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	25	 05		フィオナの執事を務める眼鏡の青年。\n物腰丁寧で冷静沈着な性格の持ち主。
002 ポックル		 Ch_001  002  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15   69		トレジャーハンターを志す少年。\n辺境の浮遊島アルジェスから訪れた。
